season,week,day,timestamp,tim1,kode1,skor1,skor2,kode2,tim2,status,mvp,mvp_link,mvp_kode
16,4,2,1757769300,Geek Fam ID,GEEK,0,2,AE,Alter Ego,selesai,Arfy,/mobilelegends/Arfy,AE
16,4,3,1757834100,ONIC,ONIC,2,0,TLID,Team Liquid ID,selesai,S A N Z,/mobilelegends/S_A_N_Z,ONIC
16,4,3,1757844900,Bigetron by Vitality,BTR,2,1,RRQ,RRQ Hoshi,selesai,Shogun,/mobilelegends/Shogun,BTR
16,4,3,1757855700,Dewa United Esports,DEWA,2,1,GEEK,Geek Fam ID,selesai,Reyy,/mobilelegends/Reyy,DEWA
16,5,1,1758269700,Geek Fam ID,GEEK,0,2,NAVI,Natus Vincere,selesai,Karss,/mobilelegends/Karss,NAVI
16,5,1,1758280500,EVOS,EVOS,1,2,ONIC,ONIC,selesai,Kiboy,/mobilelegends/Kiboy,ONIC
16,5,2,1758352500,Dewa United Esports,DEWA,2,0,RRQ,RRQ Hoshi,selesai,Muezza,/mobilelegends/Muezzaa,DEWA
16,5,2,1758363300,Alter Ego,AE,2,1,TLID,Team Liquid ID,selesai,Arfy,/mobilelegends/Arfy,AE
16,5,2,1758374100,EVOS,EVOS,0,2,BTR,Bigetron by Vitality,selesai,Nnael,/mobilelegends/Nnael,BTR
16,5,3,1758438900,Alter Ego,AE,2,1,NAVI,Natus Vincere,selesai,Yazukee,/mobilelegends/Yazukee,AE
16,5,3,1758449700,Geek Fam ID,GEEK,0,2,ONIC,ONIC,selesai,Lutpiii,/mobilelegends/Lutpiii,ONIC
16,5,3,1758460500,Dewa United Esports,DEWA,2,0,TLID,Team Liquid ID,selesai,QINN,/mobilelegends/QINN,DEWA
16,6,1,1758874500,Natus Vincere,NAVI,0,2,DEWA,Dewa United Esports,selesai,QINN,/mobilelegends/QINN,DEWA
16,6,1,1758885300,Alter Ego,AE,2,0,GEEK,Geek Fam ID,selesai,Nino,/mobilelegends/Nino,AE
16,6,2,1758957300,EVOS,EVOS,1,2,AE,Alter Ego,selesai,alekk,/mobilelegends/Alekk,AE
16,6,2,1758968100,Team Liquid ID,TLID,0,2,ONIC,ONIC,selesai,Kairi,/mobilelegends/Kairi,ONIC
16,6,2,1758978900,RRQ Hoshi,RRQ,1,2,BTR,Bigetron by Vitality,selesai,EMANN,/mobilelegends/EMANN,BTR
16,6,3,1759043700,Natus Vincere,NAVI,2,1,TLID,Team Liquid ID,selesai,Karss,/mobilelegends/Karss,NAVI
16,6,3,1759054500,ONIC,ONIC,2,0,RRQ,RRQ Hoshi,selesai,S A N Z,/mobilelegends/S_A_N_Z,ONIC
16,6,3,1759065300,Geek Fam ID,GEEK,0,2,EVOS,EVOS,selesai,Alberttt,/mobilelegends/Alberttt,EVOS
16,7,1,1759479300,Geek Fam ID,GEEK,2,0,DEWA,Dewa United Esports,selesai,Gobs,/mobilelegends/Gobs,GEEK
16,7,1,1759490100,Bigetron by Vitality,BTR,0,2,TLID,Team Liquid ID,selesai,Aran,/mobilelegends/Aran,TLID
